stop_id,stop_code,name,description,latitude,longitude,routes,ridership,match_method,city_nbr_shelters_raw,valley_shelters_raw,valley_shelter_raw,valley_shade_raw,historical_photo_url,shelter_status
1161,16050,Cactus Rd & Sand Lily,EB Cactus Rd & FS Sand Lily,33.5963100000001,-112.112553,122,22,stop_id,,0,0,,,unknown
1162,13318,Camelback Rd & 47th Av,EB Camelback Rd & FS 47th Av,33.5093350000001,-112.159696,50,22,stop_id,,0,0,,,unknown
1163,13335,Camelback Rd & 11th Av,EB Camelback Rd & FS 11th Av,33.509235,-112.085456,50,16,stop_id,,0,0,,,unknown
1164,18188,Camelback Rd & 15th Av,EB Camelback Rd & FS 15th Av,33.509327,-112.090211,50,56,stop_id,,0,0,,,unknown
1165,13333,Camelback Rd & 17th Av,EB Camelback Rd & FS 17th Av,33.5093870000001,-112.095094,50,42,stop_id,,0,0,,,unknown
1166,11077,Camelback Rd & 19th Av,EB Camelback Rd & FS 19th Av,33.5093400000001,-112.099068,50,145,stop_id,,0,0,,,unknown
1167,13331,Camelback Rd & 21st Av,EB Camelback Rd & FS 21st Av,33.509469,-112.103808,50,12,stop_id,,0,0,,,unknown
1168,13330,Camelback Rd & 23rd Av,EB Camelback Rd & FS 23rd Av,33.5094310000001,-112.108019,50,77,stop_id,,0,0,,,unknown
1169,13328,Camelback Rd & 27th Av,EB Camelback Rd & FS 27th Av,33.509326,-112.116375,50,229,stop_id,,0,0,,,unknown
117,13853,Bethany Home Rd & 10th St,EB Bethany Home Rd & FS 10th St,33.5236320000001,-112.060126,60,2,stop_id,,0,0,,,unknown
1170,13326,Camelback Rd & 31st Av,EB Camelback Rd & FS 31st Av,33.509352,-112.125158,50,29,stop_id,,0,0,,,unknown
1171,13325,Camelback Rd & 33rd Av,EB Camelback Rd & FS 33rd Av,33.509352,-112.129323,50,44,stop_id,,0,0,,,unknown
1172,13324,Camelback Rd & 35th Av,EB Camelback Rd & FS 35th Av,33.50931,-112.133713,50,169,stop_id,,0,0,,,unknown
1173,13323,Camelback Rd & 37th Av,EB Camelback Rd & FS 37th Av,33.5093350000001,-112.137838,50,116,stop_id,,0,0,,,unknown
1174,18614,Camelback Rd & 39th Av,EB Camelback Rd & FS 39th Av,33.509307,-112.142123,50,73,stop_id,,0,0,,,unknown
1175,13337,Camelback Rd & 3rd Av,EB Camelback Rd & FS 3rd Av,33.509106,-112.077544,50,22,stop_id,,0,0,,,unknown
1176,13319,Camelback Rd & 45th Av,EB Camelback Rd & FS 45th Av,33.509331,-112.155016,50,12,stop_id,,0,0,,,unknown
1177,13317,Camelback Rd & 51st Av,EB Camelback Rd & FS 51st Av,33.509309,-112.168181,50,142,stop_id,,0,0,,,unknown
1178,13316,Camelback Rd & 53rd Av,EB Camelback Rd & FS 53rd Av,33.509373,-112.172553,50,27,stop_id,,0,0,,,unknown
